'66' (Ряд 1, Шкаф 2, Позиция 4)
'68' (Ряд 3, Шкаф 2, Позиция 4)
'76' (Ряд 4, Шкаф 3, Позиция 4)
'77' (Ряд 1, Шкаф 2, Позиция 2)
'80' (Ряд 3, Шкаф 3, Позиция 5)
'80' (Ряд 2, Шкаф 3, Позиция 4)
'82' (Ряд 4, Шкаф 1, Позиция 4)
'88' (Ряд 4, Шкаф 2, Позиция 6)
'89' (Ряд 1, Шкаф 1, Позиция 2)
'96' (Ряд 2, Шкаф 2, Позиция 5)
'101' (Ряд 2, Шкаф 3, Позиция 3)
'108' (Ряд 1, Шкаф 1, Позиция 5)
'117' (Ряд 2, Шкаф 1, Позиция 5)
'122' (Ряд 2, Шкаф 1, Позиция 4)
'123' (Ряд 4, Шкаф 2, Позиция 2)
'138' (Ряд 4, Шкаф 3, Позиция 4)
'140' (Ряд 1, Шкаф 2, Позиция 3)
'142' (Ряд 4, Шкаф 1, Позиция 5)
'147' (Ряд 2, Шкаф 3, Позиция 6)
'151' (Ряд 2, Шкаф 1, Позиция 6)
'156' (Ряд 1, Шкаф 1, Позиция 5)
'157' (Ряд 1, Шкаф 1, Позиция 4)
'160' (Ряд 4, Шкаф 3, Позиция 6)
'160' (Ряд 2, Шкаф 3, Позиция 6)
'163' (Ряд 2, Шкаф 2, Позиция 5)
'163' (Ряд 3, Шкаф 1, Позиция 3)
'164' (Ряд 1, Шкаф 3, Позиция 2)
'167' (Ряд 1, Шкаф 3, Позиция 4)
'168' (Ряд 4, Шкаф 3, Позиция 6)
'171' (Ряд 2, Шкаф 3, Позиция 4)
'176' (Ряд 1, Шкаф 1, Позиция 4)
'176' (Ряд 1, Шкаф 3, Позиция 2)
'177' (Ряд 3, Шкаф 1, Позиция 3)
'182' (Ряд 4, Шкаф 3, Позиция 4)
'183' (Ряд 3, Шкаф 1, Позиция 2)
'185' (Ряд 4, Шкаф 1, Позиция 5)
'191' (Ряд 2, Шкаф 3, Позиция 6)
'193' (Ряд 3, Шкаф 1, Позиция 5)
'200' (Ряд 2, Шкаф 1, Позиция 6)
'203' (Ряд 2, Шкаф 1, Позиция 3)
'204' (Ряд 2, Шкаф 2, Позиция 6)
'207' (Ряд 2, Шкаф 3, Позиция 6)
'207' (Ряд 1, Шкаф 1, Позиция 5)
'211' (Ряд 4, Шкаф 2, Позиция 5)
'212' (Ряд 3, Шкаф 1, Позиция 4)
'214' (Ряд 2, Шкаф 1, Позиция 6)
'214' (Ряд 1, Шкаф 1, Позиция 5)
'216' (Ряд 3, Шкаф 3, Позиция 4)
'217' (Ряд 3, Шкаф 1, Позиция 2)
'219' (Ряд 2, Шкаф 2, Позиция 6)
'221' (Ряд 3, Шкаф 2, Позиция 4)
'223' (Ряд 3, Шкаф 3, Позиция 5)
'227' (Ряд 4, Шкаф 3, Позиция 2)
'238' (Ряд 2, Шкаф 3, Позиция 5)
'242' (Ряд 2, Шкаф 1, Позиция 5)
'242' (Ряд 4, Шкаф 3, Позиция 4)
'245' (Ряд 1, Шкаф 2, Позиция 3)
'253' (Ряд 3, Шкаф 3, Позиция 6)
'254' (Ряд 1, Шкаф 3, Позиция 3)
'258' (Ряд 1, Шкаф 3, Позиция 4)
'261' (Ряд 3, Шкаф 1, Позиция 4)
'262' (Ряд 1, Шкаф 1, Позиция 3)
'262' (Ряд 1, Шкаф 3, Позиция 6)
'264' (Ряд 1, Шкаф 2, Позиция 5)
'265' (Ряд 4, Шкаф 2, Позиция 3)
'268' (Ряд 4, Шкаф 2, Позиция 3)
'272' (Ряд 1, Шкаф 3, Позиция 3)
'274' (Ряд 3, Шкаф 2, Позиция 3)
'274' (Ряд 1, Шкаф 2, Позиция 5)
'279' (Ряд 1, Шкаф 3, Позиция 2)
'289' (Ряд 3, Шкаф 3, Позиция 4)
'300' (Ряд 1, Шкаф 1, Позиция 5)
'303' (Ряд 4, Шкаф 3, Позиция 4)
'308' (Ряд 1, Шкаф 2, Позиция 4)
'318' (Ряд 3, Шкаф 2, Позиция 3)
'325' (Ряд 3, Шкаф 3, Позиция 5)
'328' (Ряд 3, Шкаф 1, Позиция 3)
'331' (Ряд 4, Шкаф 1, Позиция 6)
'333' (Ряд 2, Шкаф 2, Позиция 4)
'351' (Ряд 4, Шкаф 3, Позиция 4)
'354' (Ряд 4, Шкаф 3, Позиция 5)
'355' (Ряд 2, Шкаф 1, Позиция 2)
'355' (Ряд 3, Шкаф 1, Позиция 2)
'358' (Ряд 4, Шкаф 1, Позиция 6)
'358' (Ряд 3, Шкаф 3, Позиция 4)
'363' (Ряд 2, Шкаф 2, Позиция 6)
'365' (Ряд 3, Шкаф 3, Позиция 6)
'365' (Ряд 4, Шкаф 1, Позиция 3)
'366' (Ряд 1, Шкаф 2, Позиция 4)
'373' (Ряд 4, Шкаф 2, Позиция 3)
'381' (Ряд 2, Шкаф 2, Позиция 3)
'386' (Ряд 3, Шкаф 2, Позиция 2)
'386' (Ряд 4, Шкаф 2, Позиция 2)
'386' (Ряд 4, Шкаф 3, Позиция 2)
'387' (Ряд 1, Шкаф 2, Позиция 2)
'390' (Ряд 2, Шкаф 2, Позиция 6)
'393' (Ряд 3, Шкаф 2, Позиция 6)
'395' (Ряд 3, Шкаф 2, Позиция 2)
'396' (Ряд 3, Шкаф 2, Позиция 6)
'397' (Ряд 3, Шкаф 1, Позиция 5)
