Книга 1027 (Ряд 21, Шкаф 37, Позиция 5)
Книга 2624 (Ряд 1, Шкаф 12, Позиция 3)
Книга 3607 (Ряд 8, Шкаф 13, Позиция 10)
Книга 3797 (Ряд 4, Шкаф 33, Позиция 2)
Книга 4703 (Ряд 12, Шкаф 27, Позиция 4)
Книга 4739 (Ряд 20, Шкаф 34, Позиция 8)
Книга 6636 (Ряд 46, Шкаф 31, Позиция 7)
Книга 6852 (Ряд 23, Шкаф 5, Позиция 0)
Книга 8856 (Ряд 47, Шкаф 29, Позиция 0)
Книга 10187 (Ряд 40, Шкаф 22, Позиция 5)
Книга 11886 (Ряд 48, Шкаф 35, Позиция 0)
Книга 12692 (Ряд 31, Шкаф 17, Позиция 6)
Книга 13518 (Ряд 10, Шкаф 45, Позиция 5)
Книга 13685 (Ряд 38, Шкаф 40, Позиция 2)
Книга 14103 (Ряд 46, Шкаф 8, Позиция 9)
Книга 17482 (Ряд 2, Шкаф 17, Позиция 10)
Книга 19647 (Ряд 29, Шкаф 12, Позиция 2)
Книга 19743 (Ряд 15, Шкаф 18, Позиция 3)
Книга 20103 (Ряд 20, Шкаф 19, Позиция 8)
Книга 20600 (Ряд 43, Шкаф 9, Позиция 6)
Книга 21908 (Ряд 11, Шкаф 41, Позиция 7)
Книга 25777 (Ряд 1, Шкаф 48, Позиция 12)
Книга 26386 (Ряд 13, Шкаф 29, Позиция 13)
Книга 27277 (Ряд 11, Шкаф 22, Позиция 2)
Книга 30208 (Ряд 44, Шкаф 43, Позиция 14)
Книга 30367 (Ряд 39, Шкаф 19, Позиция 11)
Книга 39296 (Ряд 34, Шкаф 16, Позиция 0)
Книга 39889 (Ряд 46, Шкаф 8, Позиция 2)
Книга 40684 (Ряд 27, Шкаф 45, Позиция 12)
Книга 42588 (Ряд 29, Шкаф 48, Позиция 13)
